city,name,street,tags,zipcode,full_address,latlon,missing
Neerijse,Biesbemd,Kamstraat 33,"['Approved by EVA', 'EVA voordeel', 'Veganvriendelijk']",3040,Kamstraat 33 3040 Neerijse,"(50.8127340562564, 4.622892881244533)",False
Antwerpen,Falafel Shami,Hoogstraat 47,"['Snack', '100% vegetarisch', 'Approved by EVA', 'Veganvriendelijk']",2000,Hoogstraat 47 2000 Antwerpen,"(51.21912277399896, 4.39791278664577)",False
Antwerpen,Falafel Tof,Hoogstraat 32,"['Eethuis', 'Snack', '100% vegetarisch', 'Approved by EVA', 'Veganvriendelijk']",2000,Hoogstraat 32 2000 Antwerpen,"(51.219967595445304, 4.398256839416387)",False
Antwerpen,Falafeltof,Hoogstraat 32,"['Snack', '100% vegetarisch', 'Approved by EVA', 'Veganvriendelijk']",2000,Hoogstraat 32 2000 Antwerpen,"(51.219967595445304, 4.398256839416387)",False
Deurle,Markies de Salade,Xavier de Cocklaan 69,"['Eethuis', '100% plantaardig', '100% vegetarisch', 'Approved by EVA', 'Veganvriendelijk']",9831,Xavier de Cocklaan 69 9831 Deurle,"(51.00079815695149, 3.614998033550879)",False
Ledeberg,Qorn'r,Landjuweelstraat 23,"['Eethuis', '100% vegetarisch', 'Approved by EVA', 'EVA voordeel', 'Veganvriendelijk']",9050,Landjuweelstraat 23 9050 Ledeberg,"(51.037862832515444, 3.740955211608581)",False
Gent,Restaurant & Bar Lof,Hoogstraat 36,"['Gastronomisch', 'Approved by EVA', 'EVA voordeel', 'Veganvriendelijk']",9000,Hoogstraat 36 9000 Gent,"(51.054712258948776, 3.7151273681040378)",False
Baal,The Vexican,C. Huysmansstraat 126,"['Cateraar', 'Snack', '100% vegetarisch', 'Approved by EVA', 'EVA voordeel', 'Veganvriendelijk']",3128,C. Huysmansstraat 126 3128 Baal,,True
Diksmuide,Water en vuur,IJzerdijk 48,"['Eethuis', 'Approved by EVA', 'EVA voordeel', 'Veganvriendelijk']",8600,IJzerdijk 48 8600 Diksmuide,"(51.0318704144283, 2.8543034959990954)",False
Voorde,Bahn Khoun,Burchtdam 16,['Eethuis'],9400,Burchtdam 16 9400 Voorde,"(50.83207522889307, 4.023544538763293)",False
Lokeren,Bistro Den Bascuul,Amand de Vosstraat 9,['Eethuis'],9160,Amand de Vosstraat 9 9160 Lokeren,"(51.1471581981293, 3.9593837905030775)",False
Sint - Pauwels,De Koerier,Kerkstraat 27,"['Cateraar', 'Eethuis']",9170,Kerkstraat 27 9170 Sint - Pauwels,"(51.21816212212936, 4.127191954663045)",False
Gent,Pakhuis,Schuurkenstraat 4,['Gastronomisch'],9000,Schuurkenstraat 4 9000 Gent,"(51.05327368048533, 3.721594115364494)",False
Brugge,#Food,Oude Burg 30,['Eethuis'],8000,Oude Burg 30 8000 Brugge,"(51.206539755635134, 3.2236446181979823)",False
Kortrijk,'De Blauwe Frituur',Doorniksesteenweg 22,['Snack'],8500,Doorniksesteenweg 22 8500 Kortrijk,"(50.81616982873522, 3.2705242513034776)",False
Sint-Niklaas,'t Centerken,Stationsstraat 131,['Eethuis'],9100,Stationsstraat 131 9100 Sint-Niklaas,"(51.169834802652545, 4.14288283181067)",False
Antwerpen,'t Koekebakske,Leeuwestraat 23,"['Eethuis', 'EVA voordeel']",2000,Leeuwestraat 23 2000 Antwerpen,,True
Antwerpen,22b,Sint-Vincentiusstraat 22b,"['Eethuis', 'Snack']",2018,Sint-Vincentiusstraat 22b 2018 Antwerpen,"(51.204817334665634, 4.413242177970222)",False
Brussel,A Bubble Tree,Galerie Ravenstein 30,"['Eethuis', 'Veganvriendelijk']",1000,Galerie Ravenstein 30 1000 Brussel,"(50.84484272171161, 4.358429687831122)",False
Leuven,A Zamara,Tiensestraat 123,['Eethuis'],3000,Tiensestraat 123 3000 Leuven,"(50.87572228755119, 4.708611753145017)",False
Antwerpen,Aahaar,Lange Herentalsestraat 23,"['Eethuis', '100% vegetarisch', 'Veganvriendelijk']",2018,Lange Herentalsestraat 23 2018 Antwerpen,"(51.2155297666382, 4.41766054066986)",False
Brussel,AB Café - resto,Steenstraat 23/b,"['Eethuis', 'EVA voordeel']",1000,Steenstraat 23/b 1000 Brussel,"(50.84710708745605, 4.350023144573089)",False
Gent,Aba-jour,Oudburg 20,['Eethuis'],9000,Oudburg 20 9000 Gent,"(51.05810624903715, 3.7242089868983173)",False
St-Amandsberg,Abre la Boca,Waterstraat 206,['Cateraar'],9040,Waterstraat 206 9040 St-Amandsberg,"(51.07440894463257, 3.7607557022593494)",False
Ieper,Agadir,Rijselsestraat 42,"['Eethuis', 'Snack']",8900,Rijselsestraat 42 8900 Ieper,,True
Brussel,Ajiyoshi,Steenkaai 32,['Eethuis'],1000,Steenkaai 32 1000 Brussel,"(50.85232955838954, 4.347408149520976)",False
Antwerpen,Al Dente,Vlaamsekaai 52,['Eethuis'],2000,Vlaamsekaai 52 2000 Antwerpen,"(51.20894063649523, 4.390007364129878)",False
 Brussel,Al Jannah,Blaesstraat 59,['Eethuis'],1000,Blaesstraat 59 1000  Brussel,"(50.83995133658402, 4.349429603791874)",False
Gent,Alexander De Grote,Rodelijvekensstraat 1,['Eethuis'],9000,Rodelijvekensstraat 1 9000 Gent,"(51.06008521796525, 3.7244527835762598)",False
Nazareth,Allervita,Kapellestraat 17,['Cateraar'],9810,Kapellestraat 17 9810 Nazareth,"(50.96292163719054, 3.600588142463766)",False
Kortrijk,AMAH food is life,Hugo verriestlaan 142,['Cateraar'],8500,Hugo verriestlaan 142 8500 Kortrijk,"(50.82277377351522, 3.282633442818771)",False
Antwerpen,Amon,Dageraadplaats 27,['Eethuis'],2018,Dageraadplaats 27 2018 Antwerpen,"(51.20713801572362, 4.42948520939014)",False
Wetteren,Amuz&Vous,V. Van Sandelaan 33,['Cateraar'],9230,V. Van Sandelaan 33 9230 Wetteren,,True
Brussel,Annapurna,Lakensestraat 26,['Eethuis'],1000,Lakensestraat 26 1000 Brussel,"(50.851934558547846, 4.350731337612484)",False
Gent,Aperto Chiuso,Sleepstraat 82,['Eethuis'],9000,Sleepstraat 82 9000 Gent,"(51.06132847652337, 3.726603962043045)",False
Vissenaken,Arax,Gilainstraat 14,['Eethuis'],3300,Gilainstraat 14 3300 Vissenaken,"(50.808724076660006, 4.937478128469792)",False
Brussel,Arcadi,Arenbergstraat 1b,['Eethuis'],1000,Arenbergstraat 1b 1000 Brussel,"(50.848438284312294, 4.35583037656129)",False
Antwerpen,Ardent,Dageraadplaats 3,"['Eethuis', 'Veganvriendelijk']",2018,Dageraadplaats 3 2018 Antwerpen,"(51.20677790074904, 4.430586524355107)",False
Elsene,Au Palais des Indes,Louizalaan 263,"['Eethuis', 'EVA voordeel']",1050,Louizalaan 263 1050 Elsene,"(50.82445482165293, 4.366197226432464)",False
